City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
152,Mahebourg,MU,69.26,few clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
153,Puerto Colombia,CO,86.09,moderate rain,10.9878,-74.9547,Hotel El Emigrante
154,East London,ZA,67.71,light rain,-33.0153,27.9116,Tu Casa
155,Alice,US,59.16,overcast clouds,27.7523,-98.0697,"Holiday Inn Express & Suites Alice, an IHG Hotel"
156,Esperance,AU,53.83,light rain,-33.8667,121.9,Hospitality Esperance
158,Baillif,GP,83.7,clear sky,16.0202,-61.7463,Hôtel Saint-Georges
159,Bambanglipuro,ID,75.94,moderate rain,-7.95,110.2833,Puri Brata
162,Hervey Bay,AU,71.26,clear sky,-25.2986,152.8535,Shelly Bay Resort
163,Biak,ID,77.04,overcast clouds,-0.9131,122.8766,Penginapan Kim
164,Garowe,SO,75.6,clear sky,8.4054,48.4845,Sacaada Hotel
165,Salamiyah,SY,59.86,clear sky,35.0113,37.0532,Gondolas Forum grandchildren and grandparents
166,Karratha,AU,72.52,broken clouds,-20.7377,116.8463,ibis Styles Karratha
167,Maceio,BR,83.64,few clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
168,Saint-Joseph,RE,70.18,clear sky,-21.3667,55.6167,"""Plantation Bed and Breakfast"
173,Kang,BW,87.49,overcast clouds,-23.6752,22.7876,Kang Ultra Stop
174,Vila Velha,BR,76.95,few clouds,-20.3297,-40.2925,Hotel Vitória Palace
175,Kununurra,AU,80.58,overcast clouds,-15.7667,128.7333,Hotel Kununurra
177,Nabire,ID,76.55,overcast clouds,-3.3667,135.4833,Hotel Nusantara I
178,Jerez,GT,84.65,scattered clouds,14.1,-89.75,Auto hotel Esmeralda
180,Paita,PE,71.33,scattered clouds,-5.0892,-81.1144,Hotel Náutico de Paita
181,Faanui,PF,80.38,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
183,Laguna,US,65.14,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
184,Port Elizabeth,ZA,65.1,few clouds,-33.918,25.5701,39 On Nile Guest House
185,Kiama,AU,56.57,broken clouds,-34.6833,150.8667,The Sebel Kiama Harbourside
186,Castro,BR,72.39,clear sky,-24.7911,-50.0119,CHACARA BAILLY
187,Hambantota,LK,77.31,scattered clouds,6.1241,81.1185,Bungalow 63
188,Rieti,IT,56.62,broken clouds,42.4072,12.8592,Hotel Miramonti
189,Rodeo,US,66.99,clear sky,38.033,-122.2669,Captain's Cottage
191,Pisco,PE,71.65,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
192,Aneho,TG,80.71,clear sky,6.2333,1.6,Hotel La Linette
193,Lompoc,US,73.85,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
194,Bambous Virieux,MU,69.22,few clouds,-20.3428,57.7575,Casa Tia Villa
195,Rawson,AR,69.6,clear sky,-43.3002,-65.1023,Hosteria Sampedro
199,Mabaruma,GY,82.11,light rain,8.2,-59.7833,Monty Brooms Guest House
200,Guayaramerin,BO,87.85,overcast clouds,-10.8368,-65.3614,Hostal FÜNF
202,Saldanha,ZA,62.65,overcast clouds,-33.0117,17.9442,Blue Bay Lodge
204,Vao,NC,72.82,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
206,Natalio,PY,89.51,clear sky,-26.7167,-55.0833,Residencia Sánchez -escobar
207,Kismayo,SO,79.11,light rain,-0.3582,42.5454,Agan-Hotel
208,Sirsa,IN,62.98,overcast clouds,29.5333,75.0167,OYO 48542 Hotel Capital
209,Santa Rosa,PH,77.11,overcast clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
210,San Pedro,PH,76.35,few clouds,14.35,121.0167,Palines Apartment and Guesthouse
211,Ahipara,NZ,63.54,scattered clouds,-35.1667,173.1667,Ahipara Holiday Park
212,Luwuk,ID,78.42,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
213,Taungdwingyi,MM,69.87,broken clouds,20.0167,95.55,NayNaing MobileService
214,Carnarvon,AU,61.75,scattered clouds,-24.8667,113.6333,Hospitality Carnarvon
216,Katsuura,JP,57.36,clear sky,35.1333,140.3,Katsuura Hotel Mikazuki
