City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
201,Beloha,MG,-25.1667,45.05,70.34,80,68,6.85,broken clouds
202,Saldanha,ZA,-33.0117,17.9442,62.65,74,88,10.07,overcast clouds
203,Poum,NC,-20.2333,164.0167,77.16,75,99,17.49,overcast clouds
204,Vao,NC,-22.6667,167.4833,72.82,70,100,11.99,overcast clouds
205,Yermakovskoye,RU,53.2831,92.4003,16.36,94,88,2.71,overcast clouds
206,Natalio,PY,-26.7167,-55.0833,89.51,28,0,3.11,clear sky
207,Kismayo,SO,-0.3582,42.5454,79.11,84,89,7.9,light rain
208,Sirsa,IN,29.5333,75.0167,62.98,24,98,4.27,overcast clouds
209,Santa Rosa,PH,14.3122,121.1114,77.11,89,98,11.45,overcast clouds
210,San Pedro,PH,14.35,121.0167,76.35,90,20,2.3,few clouds
211,Ahipara,NZ,-35.1667,173.1667,63.54,88,29,13.49,scattered clouds
212,Luwuk,ID,-0.9516,122.7875,78.42,82,100,2.89,overcast clouds
213,Taungdwingyi,MM,20.0167,95.55,69.87,59,54,4.65,broken clouds
214,Carnarvon,AU,-24.8667,113.6333,61.75,57,46,16.89,scattered clouds
215,Tazovskiy,RU,67.4667,78.7,-0.76,92,100,18.23,overcast clouds
216,Katsuura,JP,35.1333,140.3,57.36,74,0,8.68,clear sky
217,Batesville,US,35.7698,-91.641,43.21,42,75,6.91,broken clouds
218,Shache,CN,38.4167,77.2406,37.87,23,60,2.19,broken clouds
219,Trinidad,BO,-14.8333,-64.9,96.78,49,40,6.91,scattered clouds
220,Liverpool,GB,53.4106,-2.9779,51.58,83,40,14.97,light rain
221,Zhicheng,CN,30.2956,111.5047,54.36,67,8,2.3,clear sky
222,Dingle,PH,10.9995,122.6711,74.95,93,100,7.36,overcast clouds
223,Kudahuvadhoo,MV,2.6708,72.8944,81.81,76,98,17.4,overcast clouds
224,Srednekolymsk,RU,67.45,153.6833,-9.87,97,100,10.65,overcast clouds
225,Geraldton,AU,-28.7667,114.6,55.81,67,40,5.75,scattered clouds
226,Qasigiannguit,GL,68.8193,-51.1922,2.52,93,90,2.73,overcast clouds
227,Balsas,BR,-7.5325,-46.0356,83.34,60,100,5.86,overcast clouds
228,Sakakah,SA,29.9697,40.2064,60.37,56,69,9.22,broken clouds
229,Namibe,AO,-15.1961,12.1522,71.64,80,14,7.4,few clouds
230,Iqaluit,CA,63.7506,-68.5145,17.33,86,100,16.11,light snow
231,Muisne,EC,0.6,-80.0333,76.46,75,99,9.1,overcast clouds
232,San Patricio,US,28.017,-97.5169,60.75,63,100,14.07,overcast clouds
233,San Isidro,PE,-12.1167,-77.05,69.39,64,40,9.22,scattered clouds
234,Goderich,CA,43.7501,-81.7165,34.92,69,100,19.57,light snow
235,Forssa,FI,60.8146,23.6215,27.68,80,8,9.28,clear sky
236,Churapcha,RU,62.0025,132.4325,-5.48,98,100,1.74,overcast clouds
